		지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점일교차,
0,전국,2019-03-31,0.2,12,울릉도,,,
0,전국,2019-03-30,3,8,청송군,,,
0,전국,2019-03-29,0,24.6,울릉도,,,
0,전국,2019-03-28,0.6,12.9,북강릉,,,
0,전국,2019-03-27,0.1,3.3,속초,,,
0,전국,2019-03-26,0,0,동두천,파주,,
0,전국,2019-03-25,0,,,,,
0,전국,2019-03-24,0,0,울릉도,,,
0,전국,2019-03-23,1.4,6.9,추풍령,,,
0,전국,2019-03-22,0,0,울릉도,,,
0,전국,2019-03-21,2.1,9,인제,,,
0,전국,2019-03-20,16.1,53.1,성산,,,
0,전국,2019-03-19,0,0,서귀포,양평,,
0,전국,2019-03-18,0,8.8,성산,,,
0,전국,2019-03-17,0,7.1,울릉도,,,
0,전국,2019-03-16,0.2,7.8,울진,,,
0,전국,2019-03-15,3.3,17.5,정선군,,,
0,전국,2019-03-14,0,0.7,철원,,,
0,전국,2019-03-13,0,0.6,충주,,,
0,전국,2019-03-12,0.9,5.5,영주,,,
0,전국,2019-03-11,1.1,12.2,고산,,,
0,전국,2019-03-10,7.9,43.5,양산시,,,
0,전국,2019-03-09,0.3,18.4,서귀포,,,
0,전국,2019-03-08,0,,,,,
0,전국,2019-03-07,0.5,9.5,동해,,,
0,전국,2019-03-06,1,11.3,제주,,,
0,전국,2019-03-05,0,1.1,고산,,,
0,전국,2019-03-04,0,2,제주,,,
0,전국,2019-03-03,0,6.9,성산,,,
0,전국,2019-03-02,0,2,서귀포,,,
0,전국,2019-03-01,0,,,,,
0,전국,2019-02-28,0.1,1.3,울릉도,,,
0,전국,2019-02-27,0.4,4.6,제주,,,
0,전국,2019-02-26,0,0.1,울릉도,,,
0,전국,2019-02-25,0,,,,,
0,전국,2019-02-24,0,,,,,
0,전국,2019-02-23,0,0.4,울릉도,,,
0,전국,2019-02-22,0,1.7,성산,,,
0,전국,2019-02-21,0,,,,,
0,전국,2019-02-20,0,0.3,정읍,,,
0,전국,2019-02-19,16.3,49.5,성산,,,
0,전국,2019-02-18,0.1,4.7,흑산도,,,
0,전국,2019-02-17,0,0,울릉도,,,
0,전국,2019-02-16,0.1,5.3,울릉도,,,
0,전국,2019-02-15,0.4,4.4,동두천,,,
0,전국,2019-02-14,0.1,3.3,동해,0.7,울진,
0,전국,2019-02-13,0,5.4,울릉도,,,
0,전국,2019-02-12,0,0.2,서산,,,
0,전국,2019-02-11,0,5.5,울릉도,,,
0,전국,2019-02-10,0,5.6,울릉도,,,
0,전국,2019-02-09,0,12.7,울릉도,,,
0,전국,2019-02-08,0,2.3,울릉도,,,
0,전국,2019-02-07,0.5,9.3,속초,,,
0,전국,2019-02-06,0,0.2,고산,,,
0,전국,2019-02-05,0,,,,,
0,전국,2019-02-04,0,0.1,울릉도,,,
0,전국,2019-02-03,12.8,33.5,거제,,,
0,전국,2019-02-02,0,1,흑산도,,,
0,전국,2019-02-01,0,1,울릉도,,,
0,전국,2019-01-31,4.9,17.9,제주,,,
0,전국,2019-01-30,0,0.3,성산,,,
0,전국,2019-01-29,0,0,울릉도,,,
0,전국,2019-01-28,0.2,4,충주,,,
0,전국,2019-01-27,0,0,원주,,,
0,전국,2019-01-26,0,0.3,울릉도,,,
0,전국,2019-01-25,0,16.5,울릉도,,,
0,전국,2019-01-24,0,,,,,
0,전국,2019-01-23,0,,,,,
0,전국,2019-01-22,0,0,울릉도,,,
0,전국,2019-01-21,0,0.4,춘천,,,
0,전국,2019-01-20,0.1,1.9,울릉도,,,
0,전국,2019-01-19,0.2,2.6,정읍,,,
0,전국,2019-01-18,0,0,울릉도,,,
0,전국,2019-01-17,0,0.3,이천,,,
0,전국,2019-01-16,0,0.9,울릉도,,,
0,전국,2019-01-15,0.1,1.9,울릉도,,,
0,전국,2019-01-14,0,2.4,울릉도,,,
0,전국,2019-01-13,0,5.8,울릉도,,,
0,전국,2019-01-12,2.4,12.6,울릉도,,,
0,전국,2019-01-11,0,2.2,고산,,,
0,전국,2019-01-10,0,0.3,서산,,,
0,전국,2019-01-09,0,2.2,울릉도,,,
0,전국,2019-01-08,0,0.6,울릉도,,,
0,전국,2019-01-07,0,0,서귀포,,,
0,전국,2019-01-06,0,0.8,울릉도,,,
0,전국,2019-01-05,0,5.9,울릉도,,,
0,전국,2019-01-04,0,3.2,서귀포,,,
0,전국,2019-01-03,0,,,,,
0,전국,2019-01-02,0,0,울릉도,목포,흑산도,순천
0,전국,2019-01-01,0.1,1.9,보령,,,
		,,,,,,,,
	,,,,,,,,
	,,,,,,,,
	,,,,,,,,
	,,,,,,,,
